"","Observation.id","Observation.date","Description","Media.file","Total.length","FPS","Oleamide.Exposure","Experimental.Day","Photoperiod","Human.Disturbance","Subject","Behavior","Behavioral.category","Modifiers","Behavior.type","Start..s.","Stop..s.","Duration..s.","Comment.start","Comment.stop","ind","obs","date","time","rtime","m1","m2","Subject_tax","newbehav","actlevel","newstart","newstop","newduration","rownum","stoptime","dur","row.id"
"335","P14 d6_Short","9/11/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep11 (exp)/P14_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Swim Crab2","Under Refuge","Evasion",NA,"STATE",1264.137,2055.001,790.864,NA,NA,"P14","d6_Short",22-09-11,"12:24:00",12:45:04,NA,"","Swim Crab","Under Refuge",NA,1264.137,2055.001,790.864,732,12:58:14.864,790.864,NA
"336","P14 d6_Short","9/11/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep11 (exp)/P14_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Swim Crab2","Stationary",NA,"Alert Sitting","STATE",1264.137,2053.454,789.317,NA,NA,"P14","d6_Short",22-09-11,"12:24:00",12:45:04,"Alert Sitting","","Swim Crab","Stationary- Active",3,1264.137,2053.454,789.317,733,12:58:13.317,789.317,NA
"337","P16 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct1 (d2)/P16_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Hermit Crab1","Roaming",NA,"None","STATE",1264.425,1769.683,505.258,NA,NA,"P16","d2_Short",22-10-01,"12:30:00",12:51:04,"None","","Hermit Crab","Roaming",4,1264.425,1769.683,505.258,734,12:59:29.258,505.258,NA
"338","P13 d9_Short","9/14/22 12:13",NA,"/Volumes/McCoy Octo Data/PreyVideos/13/Sep14 (post)/P13_d9_Short.mov",9004,29.97,"post","9","day","no","Swim Crab3","Stationary",NA,"Alert Sitting","STATE",1265.438,1289.717,24.279,NA,NA,"P13","d9_Short",22-09-14,"12:13:00",12:34:05,"Alert Sitting","","Swim Crab","Stationary- Active",3,1265.438,1289.717,24.279,735,12:34:29.279,24.279,NA
"339","P15 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct7 (post)/P15_d9_Short.mov",9004,29.97,"post","9","day","yes","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",1265.919,1331.426,65.507,NA,NA,"P15","d9_Short",22-10-07,"12:18:00",12:39:06,"Alert Sitting","","Swim Crab","Stationary- Active",3,1265.919,1331.426,65.507,736,12:40:11.507,65.507,NA
"340","P16 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct4 (active)/P16_d6_Short.mov",7203.2,29.97,"exposure","6","day","no","Hermit Crab2","right",NA,NA,"STATE",1273.695,1838.252,564.557,NA,NA,"P16","d6_Short",22-10-04,"12:17:00",12:38:14,NA,"","Hermit Crab","Right",NA,1273.695,1838.252,564.557,737,12:47:38.557,564.557,NA
"341","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Swim Crab1","Under Refuge","Evasion",NA,"STATE",1274.112,1520.93,246.818,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:33:14,NA,"","Swim Crab","Under Refuge",NA,1274.112,1520.93,246.818,738,12:37:20.818,246.818,NA
"342","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",1274.112,1454.121,180.009,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:33:14,"Alert Sitting","","Swim Crab","Stationary- Active",3,1274.112,1454.121,180.009,739,12:36:14.009,180.009,NA
"343","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1276.454,1305.247,28.793,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:38:16,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1276.454,1305.247,28.793,740,12:38:44.793,28.793,NA
"344","P14 d6_Short","9/11/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep11 (exp)/P14_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Snail2","Stationary",NA,"Alert Sitting","STATE",1280.189,1758.179,477.99,NA,NA,"P14","d6_Short",22-09-11,"12:24:00",12:45:20,"Alert Sitting","","Snail","Stationary- Active",3,1280.189,1758.179,477.99,741,12:53:17.990,477.99,NA
"345","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Roaming",NA,"None","STATE",1282.964,1300.017,17.053,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:51:23,"None","","Swim Crab","Roaming",4,1282.964,1300.017,17.053,742,12:51:40.053,17.053,NA
"346","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Swim Crab2","Stationary",NA,"Alert Sitting","STATE",1285.64,1650.023,364.383,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:33:26,"Alert Sitting","","Swim Crab","Stationary- Active",3,1285.64,1650.023,364.383,743,12:39:30.383,364.383,NA
"347","P13 d9_Short","9/14/22 12:13",NA,"/Volumes/McCoy Octo Data/PreyVideos/13/Sep14 (post)/P13_d9_Short.mov",9004,29.97,"post","9","day","no","Swim Crab3","Roaming",NA,"None","STATE",1289.718,1452.384,162.666,NA,NA,"P13","d9_Short",22-09-14,"12:13:00",12:34:30,"None","","Swim Crab","Roaming",4,1289.718,1452.384,162.666,745,12:37:12.666,162.666,NA
"348","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Hermit Crab1","Roaming",NA,"None","STATE",1292.453,1323.491,31.038,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:33:32,"None","","Hermit Crab","Roaming",4,1292.453,1323.491,31.038,746,12:34:03.038,31.038,NA
"349","P13 d9_Short","9/14/22 12:13",NA,"/Volumes/McCoy Octo Data/PreyVideos/13/Sep14 (post)/P13_d9_Short.mov",9004,29.97,"post","9","day","no","Hermit Crab2","Stationary",NA,"Alert Sitting","STATE",1296.241,1476.24,179.999,NA,NA,"P13","d9_Short",22-09-14,"12:13:00",12:34:36,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1296.241,1476.24,179.999,747,12:37:35.999,179.999,NA
"350","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Unobservable",NA,NA,"STATE",1300.018,1313.756,13.738,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:51:40,NA,"","Swim Crab","Unobservable",NA,1300.018,1313.756,13.738,748,12:51:53.738,13.738,NA
"351","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab2","Stationary",NA,"Alert Sitting","STATE",1300.249,1334.77,34.521,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:38:40,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1300.249,1334.77,34.521,749,12:39:14.521,34.521,NA
"352","P16 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct4 (active)/P16_d6_Short.mov",7203.2,29.97,"exposure","6","day","no","Swim Crab1","Stationary",NA,"Alert Sitting","STATE",1303.476,1319.77,16.294,NA,NA,"P16","d6_Short",22-10-04,"12:17:00",12:38:43,"Alert Sitting","","Swim Crab","Stationary- Active",3,1303.476,1319.77,16.294,750,12:38:59.294,16.294,NA
"353","P14 d2_Short","9/7/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep7 (d2)/P14_d2_Short.mov",7203.2,29.97,"pre","2","day","yes","Swim Crab1","Roaming",NA,"None","STATE",1303.956,1342.774,38.818,NA,NA,"P14","d2_Short",22-09-07,"12:24:00",12:45:44,"None","","Swim Crab","Roaming",4,1303.956,1342.774,38.818,751,12:46:22.818,38.818,NA
"354","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab1","Roaming",NA,"None","STATE",1305.248,1312.482,7.234,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:38:45,"None","","Hermit Crab","Roaming",4,1305.248,1312.482,7.234,752,12:38:52.234,7.234,NA
"355","P13 d2_Short","9/7/22 12:25",NA,"/Volumes/McCoy Octo Data/PreyVideos/13/Sep7 (d2)/P13_d2_Short.mov",7203.2,29.97,"pre","2","day","yes","Hermit Crab1","Roaming",NA,"None","STATE",1305.474,1448.114,142.64,NA,NA,"P13","d2_Short",22-09-07,"12:25:00",12:46:45,"None","","Hermit Crab","Roaming",4,1305.474,1448.114,142.64,753,12:49:07.640,142.64,NA
"356","P16 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct7 (post)/P16_d9_Short.mov",7203.2,29.97,"post","9","day","no","Swim Crab2","Roaming",NA,"None","STATE",1305.769,1325.768,19.999,NA,NA,"P16","d9_Short",22-10-07,"12:18:00",12:39:46,"None","","Swim Crab","Roaming",4,1305.769,1325.768,19.999,754,12:40:05.999,19.999,NA
"357","P16 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct4 (active)/P16_d6_Short.mov",7203.2,29.97,"exposure","6","day","no","Hermit Crab1","Roaming",NA,"None","STATE",1306.736,1509.933,203.197,NA,NA,"P16","d6_Short",22-10-04,"12:17:00",12:38:47,"None","","Hermit Crab","Roaming",4,1306.736,1509.933,203.197,755,12:42:10.197,203.197,NA
"358","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab1","right",NA,NA,"STATE",1307.225,1804.512,497.287,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:38:47,NA,"","Hermit Crab","Right",NA,1307.225,1804.512,497.287,756,12:47:04.287,497.287,NA
"359","P15 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct4 (exp)/P15_d6_Short.mov",7203.2,29.97,"exposure","6","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1312.483,1333.004,20.521,NA,NA,"P15","d6_Short",22-10-04,"12:17:00",12:38:52,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1312.483,1333.004,20.521,757,12:39:12.521,20.521,NA
"360","P14 d2_Short","9/7/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep7 (d2)/P14_d2_Short.mov",7203.2,29.97,"pre","2","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1312.596,1337.012,24.416,NA,NA,"P14","d2_Short",22-09-07,"12:24:00",12:45:53,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1312.596,1337.012,24.416,758,12:46:17.416,24.416,NA
"361","P15 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct7 (post)/P15_d9_Short.mov",9004,29.97,"post","9","day","yes","Hermit Crab2","Burrow","Evasion",NA,"STATE",1313.226,1320.248,7.022,NA,NA,"P15","d9_Short",22-10-07,"12:18:00",12:39:53,NA,"","Hermit Crab","Stationary- Burrowed",1,1313.226,1320.248,7.022,759,12:40:00.022,7.022,NA
"362","P15 d2_Short","10/1/22 12:30",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct1 (d2)/P15_D2_Short.mov",5402.4,29.97,"pre","2","day","yes","Swim Crab1","Roaming",NA,"None","STATE",1313.757,1350.789,37.032,NA,NA,"P15","d2_Short",22-10-01,"12:30:00",12:51:54,"None","","Swim Crab","Roaming",4,1313.757,1350.789,37.032,760,12:52:31.032,37.032,NA
"363","P14 d2_Short","9/7/22 12:24",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep7 (d2)/P14_d2_Short.mov",7203.2,29.97,"pre","2","day","yes","Hermit Crab3","Stationary",NA,"Alert Sitting","STATE",1315.083,1453.711,138.628,NA,NA,"P14","d2_Short",22-09-07,"12:24:00",12:45:55,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1315.083,1453.711,138.628,761,12:48:13.628,138.628,NA
"364","P16 d6_Short","10/4/22 12:17",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct4 (active)/P16_d6_Short.mov",7203.2,29.97,"exposure","6","day","no","Swim Crab1","Roaming",NA,"None","STATE",1319.771,1569.496,249.725,NA,NA,"P16","d6_Short",22-10-04,"12:17:00",12:39:00,"None","","Swim Crab","Roaming",4,1319.771,1569.496,249.725,762,12:43:09.725,249.725,NA
"365","P15 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct7 (post)/P15_d9_Short.mov",9004,29.97,"post","9","day","yes","Hermit Crab2","Stationary",NA,"Alert Sitting","STATE",1320.249,1353.019,32.77,NA,NA,"P15","d9_Short",22-10-07,"12:18:00",12:40:00,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1320.249,1353.019,32.77,763,12:40:32.770,32.77,NA
"366","P14 d9_Short","9/14/22 12:12",NA,"/Volumes/McCoy Octo Data/PreyVideos/14/Sep14 (post)/P14_d9_Short.mov",7203.2,29.97,"post","9","day","yes","Hermit Crab1","Stationary",NA,"Alert Sitting","STATE",1323.492,1345.515,22.023,NA,NA,"P14","d9_Short",22-09-14,"12:12:00",12:34:03,"Alert Sitting","","Hermit Crab","Stationary- Active",3,1323.492,1345.515,22.023,764,12:34:25.023,22.023,NA
"367","P16 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/16/Oct7 (post)/P16_d9_Short.mov",7203.2,29.97,"post","9","day","no","Swim Crab2","Stationary",NA,"Alert Sitting","STATE",1325.769,1392.318,66.549,NA,NA,"P16","d9_Short",22-10-07,"12:18:00",12:40:06,"Alert Sitting","","Swim Crab","Stationary- Active",3,1325.769,1392.318,66.549,765,12:41:12.549,66.549,NA
"368","P15 d9_Short","10/7/22 12:18",NA,"/Volumes/McCoy Octo Data/PreyVideos/15/Oct7 (post)/P15_d9_Short.mov",9004,29.97,"post","9","day","yes","Swim Crab1","Roaming",NA,"None","STATE",1331.427,1417.834,86.407,NA,NA,"P15","d9_Short",22-10-07,"12:18:00",12:40:11,"None","","Swim Crab","Roaming",4,1331.427,1417.834,86.407,767,12:41:37.407,86.407,NA
