,Observation id,Observation date,Description,Media file,Total length,FPS,Oleamide Exposure,Experimental Day,Photoperiod,Human Disturbance,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop,ind,obs,date,time,rtime
7819,Selkie d6_Total,3/7/23 9:50,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar7/Selkie_d6_Total.mov,15029.014,59.94,exposure,6,day,yes,Octopus,Stationary,NA,Alert Sitting,STATE,5918.332,5927.832,9.5,NA,NA,Selkie,d6_Total,3/7/23,9:50:00,11:28:38
7820,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab2,Roaming,NA,Within 1/2 tank L,STATE,5919.34,5949.339,29.999,NA,NA,Caly,d2_Total,2/15/23,9:58:00,11:36:39
7821,Selkie d9_Total,3/10/23 9:59,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar10/Selkie_d9_Total.mov,14842.33,58.98,post,9,day,yes,Hermit Crab2,Stationary,NA,Alert Sitting,STATE,5921.068,5954.897,33.829,NA,NA,Selkie,d9_Total,3/10/23,9:59:00,11:37:41
7822,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab3,Stationary,NA,Alert Sitting,STATE,5927.35,6054.488,127.138,"hermits harassing
",NA,Caly,d6_Total,2/19/23,9:45:00,11:23:47
7823,Selkie d2_Total,3/3/23 9:54,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar3/Selkie_d2_Total.mov,16207.191,29.97,pre,2,day,yes,Swim Crab1,Roaming,NA,Beyond 1/2 tank L,STATE,5927.806,5967.805,39.999,NA,NA,Selkie,d2_Total,3/3/23,9:54:00,11:32:48
7824,Selkie d6_Total,3/7/23 9:50,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar7/Selkie_d6_Total.mov,15029.014,59.94,exposure,6,day,yes,Octopus,Roaming,NA,Identity,STATE,5927.833,6059.25,131.417,NA,NA,Selkie,d6_Total,3/7/23,9:50:00,11:28:48
7825,Haliai d1_Total,7/7/22 9:39,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July7 (pre)/Haliai_d1_Total.mov,15972.96,29.97,pre,1,day,yes,Hermit Crab1,right,NA,NA,STATE,5927.943,8142.573,2214.63,NA,NA,Haliai,d1_Total,7/7/22,9:39:00,11:17:48
7826,Scylla d1_Total,3/14/23 9:56,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar14/Scylla_d1_Total.mov,15124.61,59.94,pre,1,day,yes,Hermit Crab3,Roaming,NA,Within 1/2 tank L,STATE,5928.871,5944.154,15.283,NA,NA,Scylla,d1_Total,3/14/23,9:56:00,11:34:49
7827,Scylla d9_Total,3/22/23 9:33,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar22/Scylla_d9_Total.mov,16324.31,55.59,post,9,day,yes,Hermit Crab3,Stationary,NA,Alert Sitting,STATE,5933.576,6080.795,147.219,NA,NA,Scylla,d9_Total,3/22/23,9:33:00,11:11:54
7828,Caly d6_Total,2/19/23 9:45,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb19/Caly_d6.mov,16571.055,47.05,exposure,6,day,yes,Hermit Crab1,Stationary,NA,Alert Sitting,STATE,5940.874,6217.396,276.522,fighting other hermits,NA,Caly,d6_Total,2/19/23,9:45:00,11:24:01
7829,Scylla d6_Total,3/19/23 9:53,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar19/Scylla_d6_Total.mov,14779.265,59.94,exposure,6,day,yes,Swim Crab1,Roaming,NA,Within 1/2 tank L,STATE,5943.123,6019.003,75.88,NA,NA,Scylla,d6_Total,3/19/23,9:53:00,11:32:03
7830,Scylla d1_Total,3/14/23 9:56,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar14/Scylla_d1_Total.mov,15124.61,59.94,pre,1,day,yes,Hermit Crab3,Roaming,NA,Beyond 1/2 tank L,STATE,5944.155,6026.184,82.029,NA,NA,Scylla,d1_Total,3/14/23,9:56:00,11:35:04
7831,Caly d9_Total,2/22/23 9:55,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb22/Caly_d9.mov,14666.152,59.23,post,9,day,yes,Hermit Crab2,Roaming,NA,Beyond 1/2 tank L,STATE,5945.843,5978.372,32.529,NA,NA,Caly,d9_Total,2/22/23,9:55:00,11:34:06
7832,Selkie d6_Total,3/7/23 9:50,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar7/Selkie_d6_Total.mov,15029.014,59.94,exposure,6,day,yes,Hermit Crab3,Roaming,NA,Beyond 1/2 tank L,STATE,5948.162,5976.169,28.007,NA,NA,Selkie,d6_Total,3/7/23,9:50:00,11:29:08
7833,Selkie d6_Total,3/7/23 9:50,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar7/Selkie_d6_Total.mov,15029.014,59.94,exposure,6,day,yes,Hermit Crab3,right,NA,NA,STATE,5948.162,6298.415,350.253,NA,NA,Selkie,d6_Total,3/7/23,9:50:00,11:29:08
7834,Caly d2_Total,2/15/23 9:58,NA,/Volumes/McCoy Octo Data/OctopusVideos/Calypso/Feb15/Caly_d2.mov,14857.843,59.94,pre,2,day,no,Hermit Crab2,Stationary,NA,Alert Sitting,STATE,5949.34,6049.934,100.594,NA,NA,Caly,d2_Total,2/15/23,9:58:00,11:37:09
7835,Scylla d2_Total,3/15/23 10:08,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar15/Scylla_d2_total.mov,13984.971,57.52,pre,2,day,yes,Hermit Crab1,Roaming,NA,Beyond 1/2 tank L,STATE,5949.562,6173.339,223.777,NA,NA,Scylla,d2_Total,3/15/23,10:08:00,11:47:10
7836,Scylla d1_Total,3/14/23 9:56,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar14/Scylla_d1_Total.mov,15124.61,59.94,pre,1,day,yes,Swim Crab2,Roaming,NA,Within 1/2 tank L,STATE,5949.921,5969.92,19.999,NA,NA,Scylla,d1_Total,3/14/23,9:56:00,11:35:10
7837,Selkie d9_Total,3/10/23 9:59,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar10/Selkie_d9_Total.mov,14842.33,58.98,post,9,day,yes,Hermit Crab2,Roaming,NA,Beyond 1/2 tank L,STATE,5954.898,5965.653,10.755,NA,NA,Selkie,d9_Total,3/10/23,9:59:00,11:38:15
7838,Haliai d9_Total,7/15/22 9:34,NA,/Volumes/McCoy Octo Data/OctopusVideos/Haliai/July15 (post)/Haliai_d9_Total.mov,15927.412,29.97,post,9,day,yes,Octopus,right,NA,NA,STATE,5961.861,13787.709,7825.848,NA,NA,Haliai,d9_Total,7/15/22,9:34:00,11:13:22
7839,Selkie d9_Total,3/10/23 9:59,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar10/Selkie_d9_Total.mov,14842.33,58.98,post,9,day,yes,Hermit Crab2,Stationary,NA,Alert Sitting,STATE,5965.654,5970.14,4.486,NA,NA,Selkie,d9_Total,3/10/23,9:59:00,11:38:26
7840,Selkie d2_Total,3/3/23 9:54,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar3/Selkie_d2_Total.mov,16207.191,29.97,pre,2,day,yes,Swim Crab1,Stationary,NA,Alert Sitting,STATE,5967.806,6157.566,189.76,NA,NA,Selkie,d2_Total,3/3/23,9:54:00,11:33:28
7841,Scylla d1_Total,3/14/23 9:56,NA,/Volumes/McCoy Octo Data/OctopusVideos/Scylla/Mar14/Scylla_d1_Total.mov,15124.61,59.94,pre,1,day,yes,Swim Crab2,Stationary,NA,Alert Sitting,STATE,5969.921,6057.25,87.329,NA,NA,Scylla,d1_Total,3/14/23,9:56:00,11:35:30
7842,Selkie d9_Total,3/10/23 9:59,NA,/Volumes/McCoy Octo Data/OctopusVideos/Selkie/Mar10/Selkie_d9_Total.mov,14842.33,58.98,post,9,day,yes,Hermit Crab2,Burrow,Evasion,NA,STATE,5970.141,5977.395,7.254,NA,NA,Selkie,d9_Total,3/10/23,9:59:00,11:38:30
7843,Loki d6_Total,6/12/22 10:00,NA,/Volumes/McCoy Octo Data/OctopusVideos/Loki/June11 (exp)/Loki_d6_Total.mov,14451.94,29.97,exposure,6,day,yes,Hermit Crab3,right,NA,NA,STATE,5975.692,14451.938,8476.246,NA,NA,Loki,d6_Total,6/12/22,10:00:00,11:39:36
